task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
396	a4/49ef0b	2052184	save_vcfs (NA18509.wgs)	COMPLETED	0	2025-12-25 13:24:43.878	12.2s	0ms	141.5%	0	0	47.7 KB	9.4 KB
98	5b/9bdf42	2052980	call_snvs2 (15)	COMPLETED	0	2025-12-25 13:24:43.972	12.1s	1s	444.4%	1 MB	7.9 MB	4 MB	346.6 KB
403	c4/bf2f9e	2059165	phase_snvs (NA18518.wgs)	FAILED	127	2025-12-25 13:24:46.809	10.1s	10.1s	-	-	-	-	-
402	54/3889e1	2059158	analyse_3 (NA18518.wgs)	COMPLETED	0	2025-12-25 13:24:46.804	10.2s	0ms	26.7%	1.5 MB	7.4 MB	70.3 KB	2.2 KB
400	39/a8736d	2059156	get_core_var (NA18966.wgs)	COMPLETED	0	2025-12-25 13:24:46.797	10.8s	0ms	35.4%	1.5 MB	7.4 MB	153.1 KB	66.6 KB
405	78/b78188	2060468	phase_snvs (NA18509.wgs)	FAILED	127	2025-12-25 13:24:56.018	1.5s	1.5s	-	-	-	-	-
80	d9/6e4c7c	2059272	get_depth (18)	COMPLETED	0	2025-12-25 13:24:46.866	11.2s	0ms	100.3%	1.5 MB	7.1 MB	10 MB	1.6 KB
399	11/16d9ed	2060460	format_snvs (10)	COMPLETED	0	2025-12-25 13:24:56.010	2.4s	0ms	42.8%	1.5 MB	7.4 MB	228.1 KB	107.6 KB
100	e6/fb1b0e	2060324	call_snvs1 (19)	COMPLETED	0	2025-12-25 13:24:50.983	7.7s	1s	565.3%	1 MB	7.9 MB	3.9 MB	312.4 KB
265	6c/c116ca	2060027	call_snvs1 (49)	COMPLETED	0	2025-12-25 13:24:47.228	14s	1s	561.8%	1.9 MB	7.9 MB	4.1 MB	369.3 KB
409	44/04063e	2060524	save_vcfs (NA19003.wgs)	COMPLETED	0	2025-12-25 13:24:56.040	6.4s	0ms	58.5%	0	0	48.2 KB	10.4 KB
408	f8/6c5a85	2060547	get_core_var (NA19003.wgs)	COMPLETED	0	2025-12-25 13:24:56.046	6.4s	0ms	37.3%	1.5 MB	7.4 MB	153.1 KB	66.6 KB
404	5d/4036df	2060941	format_snvs (11)	COMPLETED	0	2025-12-25 13:24:56.109	6.3s	0ms	43.6%	1.5 MB	7.4 MB	220.2 KB	104.6 KB
410	9d/5d6d88	2061065	analyse_1 (NA19147.wgs)	COMPLETED	0	2025-12-25 13:24:56.118	6.3s	0ms	29.9%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
411	8f/f5decf	2061139	analyse_1 (NA11993.wgs)	COMPLETED	0	2025-12-25 13:24:56.124	6.3s	0ms	19.0%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
412	f2/f9da12	2061213	save_vcfs (NA18617.wgs)	COMPLETED	0	2025-12-25 13:24:56.130	6.3s	0ms	126.3%	0	0	48.2 KB	10.4 KB
10	a7/c2eb8a	2060414	call_snvs2 (2)	COMPLETED	0	2025-12-25 13:24:55.989	6.5s	1s	464.6%	1.2 MB	8 MB	4.1 MB	344.8 KB
407	3d/27c888	2060486	analyse_3 (NA18509.wgs)	COMPLETED	0	2025-12-25 13:24:56.027	6.6s	0ms	43.8%	1.5 MB	7.4 MB	66.1 KB	1.8 KB
406	6d/e54d63	2060506	analyse_2 (NA18509.wgs)	COMPLETED	0	2025-12-25 13:24:56.034	6.6s	0ms	37.0%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
285	ce/cc73f7	2060893	call_snvs2 (64)	COMPLETED	0	2025-12-25 13:24:56.104	6.9s	1s	331.1%	1 MB	7.9 MB	3.6 MB	223.8 KB
413	f3/d00233	2066934	get_core_var (NA18617.wgs)	COMPLETED	0	2025-12-25 13:24:57.560	5.4s	0ms	37.8%	1.5 MB	7.4 MB	153 KB	66.5 KB
416	be/748b0c	2066935	analyse_3 (NA18966.wgs)	COMPLETED	0	2025-12-25 13:24:57.563	5.4s	0ms	37.5%	1.5 MB	7.4 MB	68.1 KB	1.9 KB
