Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
49	:	1766383897.638	     0.502	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18519.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18519.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18519.10x.short.stdout 2>&1
52	:	1766383898.145	     0.360	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18540.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18540.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18540.10x.short.stdout 2>&1
51	:	1766383898.094	     0.576	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18526.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18526.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18526.10x.short.stdout 2>&1
53	:	1766383898.511	     0.557	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18544.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18544.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18544.10x.short.stdout 2>&1
54	:	1766383898.674	     0.536	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18552.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18552.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18552.10x.short.stdout 2>&1
55	:	1766383899.075	     0.506	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18564.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18564.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18564.10x.short.stdout 2>&1
56	:	1766383899.216	     0.494	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18565.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18565.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18565.10x.short.stdout 2>&1
57	:	1766383899.585	     0.507	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18617.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18617.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18617.10x.short.stdout 2>&1
58	:	1766383899.717	     0.522	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18855.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18855.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18855.10x.short.stdout 2>&1
59	:	1766383900.099	     0.477	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18861.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18861.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18861.10x.short.stdout 2>&1
